Name,Symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,tenure,assets,category
American AAdvantage Growth & Inc Inst,AADEX,6.17,12.28,6.17,17.59,16.7,15.38,1.86,***,0.61,11,"128,804,843",LargeValue
American AAdvantage Growth & Inc AMR,AAGAX,6.51,12.38,6.51,17.91,,,2.19,***,0.34,4,"106,754,409",LargeValue
American AAdvantage Growth & Inc Milg,AAGMX,5.88,12.24,5.88,17.4,,,1.6,***,1,4,"1,273,812,035",LargeValue
American AAdvantage Growth & Inc Plan,AAGPX,5.88,12.27,5.88,17.25,,,1.68,***,0.93,4,"30,908,058,305",LargeValue
Armada Equity Income Instl,AEIIX,10.23,11.8,10.23,19.12,,,1.64,***,1.01,0,"2,328,667,318",LargeValue
AARP Growth & Income,AGIFX,6.14,11.3,6.14,19.14,18.1,16.37,2.18,****,0.67,12,"8,079,205,944",LargeValue
AHA Diversified Equity,AHDEX,17.56,21.15,17.56,25.3,21.54,16.91,1.4,****,0.17,11,"4,284,739,411",LargeValue
American Century Income & Growth Adv,AMADX,27.37,22.12,27.37,,,,1.02,,0.94,1,"1,534,156,450",LargeValue
Amana Mutual Funds Trust Income,AMANX,14.07,9.25,14.07,17.04,13.48,11.7,1.01,***,1.36,9,"2,905,050,979",LargeValue
American Century Equity Growth Instl,AMEIX,25.59,23.17,25.59,,,,1.04,,,0,"158,928,577",LargeValue
American Century Income & Growth Inst,AMGIX,,22.23,,,,,,,,0,"827,828,283",LargeValue
Amway Mutual,AMWYX,10.17,10.45,10.17,18.09,15.57,15.92,0.95,***,0.9,3,"29,025,859",LargeValue
API Capital Income,APIGX,14.17,21,14.17,18.95,16.36,10.93,2.92,***,1.77,10,"50,457,548",LargeValue
Aquinas Equity Income,AQEIX,5.5,14.19,5.5,17.55,16.42,,1.47,***,1.37,4,"389,275,386",LargeValue
Ark Equity-Income Instl,AREIX,8.62,11.54,8.62,,,,2.22,,,2,"127,619,132",LargeValue
Arch Equity Income Tr,ARUTX,11.12,10.18,11.12,,,,1.89,,,1,"358,988,366",LargeValue
Atlas Strategic Growth A,ASGAX,11.22,16.49,11.22,20.42,17.59,,0.51,***,1.21,5,"468,800,000",LargeValue
Accessor Value & Income,AVAIX,12.89,18.96,12.89,22.98,19.42,,0.97,****,1.05,0,"2,018,770,406",LargeValue
AmSouth Equity Prem,AYEQX,18.38,16.87,18.38,,,,1.2,,,,"63,313,094",LargeValue
BB&T Growth & Income Stock Tr,BBISX,13.1,16.92,13.1,22.53,19.33,,1.28,****,0.86,5,"854,840,528",LargeValue
American Century Equity Growth Adv,BEQAX,25.14,22.98,25.14,,,,0.67,,0.94,1,"199,986,030",LargeValue
American Century Equity Growth Inv,BEQGX,25.45,23.1,25.45,29.54,23.88,,0.85,*****,0.69,1,"64,160,024",LargeValue
American Century Income & Growth Inv,BIGRX,27.67,22.18,27.67,28.69,23.74,,1.15,*****,0.66,1,"67,397,885",LargeValue
Boston Partners Large Cap Value Instl,BPLAX,-0.64,11.4,-0.64,,,,0.33,,1,1,"2,668,578,527",LargeValue
Wachovia Quantitative Equity Y,BTQYX,24.59,23.29,24.59,,,,1.04,,0.87,1,"22,484,289",LargeValue
Buffalo Equity,BUFEX,10.68,19.74,10.68,21.12,,,0.32,***,1.09,3,"114,871,651",LargeValue
Babson Value,BVALX,6.07,14.07,6.07,18.11,17.34,15.6,1.19,***,0.97,14,"278,388,870",LargeValue
UAM Chicago Asset Mgmt Value/Contr,CAMEX,15.86,16.81,15.86,16.19,,,0.94,***,0.95,4,"1,272,529",LargeValue
Centura Large-Cap C,CEICX,15.77,23.38,15.77,,,,1.55,,0.75,2,"406,403,933",LargeValue
CitiFunds Growth and Income,CFGIX,,17.18,,,,,,,,0,"432,067,351",LargeValue
Clipper,CFIMX,19.2,12.32,19.2,22.91,21.33,17.63,1.85,****,1.08,14,"13,559,785,036",LargeValue
Oppenheimer Disciplined Value Y,CGRYX,8.91,18.43,8.91,,,,1.15,,0.78,12,"3,723,990",LargeValue
CrestFunds Value Tr,CRVAX,18.2,16.41,18.2,21.58,18.19,,0.55,****,1.02,1,"143,647,311",LargeValue
Calvert Social Investment Equity C,CSECX,9.76,26.47,9.76,15.82,,,0,**,2.3,0,"19,453,699,028",LargeValue
Dreyfus Premier Core Value Instl,DCVFX,7.2,15.07,7.2,17.77,17.37,,0.66,***,1.04,0,"202,245,995",LargeValue
Delaware Decatur Income Instl,DEDIX,10.1,11.9,10.1,19.91,,,2.71,****,0.68,4,"4,458,353,748",LargeValue
Delaware Decatur Total Return Instl,DERIX,10.9,13.49,10.9,20.65,19.12,,1.67,****,0.83,5,"77,227,405",LargeValue
RWB/DFA U.S. High Book to Market,DFBMX,12.06,16.84,12.06,,,,1.48,,,2,"98,445,429",LargeValue
DFA U.S. Large Cap Value II,DFCVX,11.98,16.78,11.98,19.68,,,1.69,***,0.82,4,"594,423,326",LargeValue
DFA U.S. Large Cap Value,DFLVX,11.98,16.78,11.98,19.93,17.9,,1.49,***,0.35,5,"890,255,296",LargeValue
DFA U.S. Large Cap Value III,DFUVX,12.18,16.83,12.18,20.08,,,1.68,***,0.26,3,"3,239,368,523",LargeValue
Dreyfus Growth & Income,DGRIX,12.83,18.54,12.83,14.4,12.15,,0.88,**,1.01,1,"1,080,360,000",LargeValue
DLB Value,DLBVX,5.25,13.06,5.25,18.14,,,1.73,***,0.71,3,"7,004,825,603",LargeValue
Davis NY Venture Y,DNVYX,15.12,21.43,15.12,,,,0.72,,0.59,2,"23,707,359,006",LargeValue
Dodge & Cox Stock,DODGX,5.4,13.26,5.4,18.28,18.34,16.12,1.59,***,0.57,32,"658,140,795",LargeValue
Dreyfus Premier Value R,DPVRX,10.25,16.4,10.25,14.93,,,0.58,**,0.94,3,"537,851,182",LargeValue
Dreyfus Equity Dividend,DREDX,10.97,10.43,10.97,18.55,,,1.65,***,1.27,3,"200,000,000",LargeValue
Dreyfus Growth Opportunity,DREQX,16.13,20.53,16.13,17.78,14.46,12.03,0.66,***,1.06,3,"7,695,881,296",LargeValue
Dreyfus Premier Growth & Income R,DRERX,11.25,18.65,11.25,26.08,,,0.24,****,0.99,3,"70,865,110",LargeValue
Dreyfus,DREVX,17.15,20.31,17.15,14.55,12.24,11.83,0.91,**,0.71,1,"485,840,047",LargeValue
UAM DSI Disciplined Value Instl,DSIDX,10.19,14.2,10.19,18.44,16.69,,1.05,***,1.05,1,"100,400,000",LargeValue
UAM DSI Disciplined Value Instl Svc,DSVIX,9.88,14.15,9.88,,,,0.77,,1.3,1,"50,774,416",LargeValue
Dreyfus Premier Core Value R,DTCRX,7.05,15.11,7.05,17.83,,,0.77,***,0.89,0,"69,363,981",LargeValue
Wilshire Target Large Co Value Invmt,DTLVX,10.31,13.63,10.31,19.24,17.61,,1.44,***,0.86,6,"38,926,819",LargeValue
Diversified Investors Equity Income,DVEIX,12.45,13.45,12.45,19.68,,,1.13,****,1,4,"285,188,819",LargeValue
Diversified Investors Equity Value,DVEVX,10.75,10.84,10.75,,,,8.54,,1.07,2,"1,968,149,000",LargeValue
Evergreen Value Y,EGVYX,9.77,11.55,9.77,18.14,17.35,,1.02,***,0.7,0,"248,975,094",LargeValue
Endowments Growth and Income,ENDIX,11.19,11.36,11.19,18.92,16.97,15.02,2.81,****,0.73,9,"71,277,472",LargeValue
Enterprise Managed Y,ENMYX,7.19,11.9,7.19,16.92,,,0.96,***,1.04,3,"1,369,639,633",LargeValue
Fidelity Advisor Equity Income Instl,EQPIX,16.77,17.9,16.77,19.45,19.59,15.97,1.1,****,0.67,2,"161,817,837",LargeValue
California Investment Equity Income,EQTIX,13.15,17.08,13.15,,,,2.52,,0.78,2,"904,526,383",LargeValue
Evergreen Select Diversified Val Inst,ESUIX,,19.3,,,,,,,,0,"231,641,941",LargeValue
Fidelity Advisor Growth Opport Instl,FAGCX,24.63,20.63,24.63,23.97,,,1.15,****,0.7,3,"94,478,050",LargeValue
First American Equity-Income Y,FAQIX,16.22,11.45,16.22,21.31,,,2.48,****,0.75,4,"74,810,751",LargeValue
FBP Contrarian Equity,FBPEX,17.76,24.61,17.76,21.94,19.86,,0.5,****,1.12,5,"1,054,619,012",LargeValue
Fidelity Equity-Income,FEQIX,12.52,16.16,12.52,20.97,18.52,15.69,1.47,****,0.65,5,"846,362,443",LargeValue
Fidelity Equity-Income II,FEQTX,22.98,20.55,22.98,22.91,19.34,,1.01,****,0.68,2,"216,325,137",LargeValue
Flag Investors Equity Partners Instl,FLIPX,25.63,30.03,25.63,,,,0.17,,1.1,2,"64,876,764",LargeValue
Flex-funds Muirfield,FLMFX,29.56,25.45,29.56,17.58,16,13.9,1.51,***,1.29,10,"12,513,875",LargeValue
First Omaha Equity,FOEQX,7.84,10.74,7.84,14.19,15.19,,1.71,***,1.04,6,"373,400,866",LargeValue
Invesco Value Equity,FSEQX,15.05,16.66,15.05,20.39,18.84,15.61,0.76,****,1.15,5,"1,217,038",LargeValue
First American Large Cap Value Y,FSKIX,9.99,16.64,9.99,20.48,,,1.25,****,0.8,11,"1,383,439",LargeValue
Federated Stock,FSTKX,17.26,16.48,17.26,24.07,20.86,16.24,0.87,****,0.99,1,"43,140,900",LargeValue
Matterhorn Growth,FWLEX,12.27,19.36,12.27,12.14,9.3,12.7,0,**,3.65,1,"56,796,135",LargeValue
Gabelli Equity-Income,GABEX,20.45,20.53,20.45,21.98,18.68,,7.94,****,1.78,7,"123,555,617",LargeValue
Galaxy Equity Value Tr,GEVTX,24.15,27.21,24.15,24.58,,,0.23,****,1.04,4,"163,746,412",LargeValue
GMO U.S. Core III,GMCTX,24.69,19.49,24.69,25.6,23.78,19.74,1.3,*****,0.48,13,"18,430,356,088",LargeValue
GMO Value III,GMOVX,11.66,12.76,11.66,20.69,19.57,,1.82,****,0.61,8,"469,422,026",LargeValue
GMO U.S. Core IV,GMRFX,,19.5,,,,,,,,0,"117,050,741",LargeValue
GMO U.S. Core II,GMTWX,24.52,19.4,24.52,,,,1.27,,,2,"271,222,023",LargeValue
Golden Oak Value Instl,GOVAX,6.18,15.27,6.18,,,,0.45,,,,"1,724,670,832",LargeValue
Goldman Sachs Growth & Inc Svc,GSGSX,-5.45,7.15,-5.45,,,,0.76,,1.32,1,"22,293,528",LargeValue
Goldman Sachs Growth & Inc Instl,GSIIX,-4.98,7.28,-4.98,,,,1.28,,0.83,1,"4,502,602,651",LargeValue
Glenmede Tax Managed Equity,GTCEX,14.86,19.08,14.86,26.53,21.27,,1.49,****,0.13,0,"2,359,230,306",LargeValue
Glenmede Large Cap Value,GTMEX,17.51,22.78,17.51,24.86,17.66,,1.46,***,0.13,0,"179,955,405",LargeValue
Harris Insight Equity-Income Instl,HEIIX,23.03,19.81,23.03,,,,1.09,,0.93,2,"2,591,099,279",LargeValue
Harris Insight Equity-Income A,HENAX,22.71,19.67,22.71,,,,0.84,,1.18,2,"8,518,077",LargeValue
Harris Insight Equity Instl,HEQIX,14.09,19.13,14.09,,,,0.58,,0.9,2,"831,892,000",LargeValue
Huntington Income-Equity Tr,HIEFX,17.79,12.24,17.79,20.15,17.09,,2.62,****,0.81,8,"202,559",LargeValue
Harris Insight Equity A,HIEQX,13.7,18.99,13.7,24.37,20.62,17.23,0.32,****,0.94,2,"732,269,314",LargeValue
One Group Large Company Value Fid,HLQVX,13.89,15.5,13.89,19.94,16.78,,1.12,***,0.95,0,"41,197,584",LargeValue
HighMark Income-Equity Fid,HMIEX,15.12,16.71,15.12,19.25,18.09,15.43,1.33,***,0.99,0,"1,777,495,964",LargeValue
HighMark Value Momentum Fid,HMVMX,9.72,18.05,9.72,21.69,19.65,,1.2,****,0.81,0,"8,315,949",LargeValue
Hotchkis & Wiley Equity-Income,HWEQX,4.32,9.22,4.32,17.11,15.81,14.13,1.95,***,0.87,4,,LargeValue
ICAP Equity,ICAEX,11.42,16.48,11.42,22,,,1.29,****,0.8,4,"21,923,940",LargeValue
ICAP Discretionary Equity,ICDEX,10.17,14.25,10.17,21.17,,,1.57,****,0.8,4,"3,915,056",LargeValue
UAM ICM Equity,ICMEX,-3.37,11.49,-3.37,17.41,16.32,,1.8,***,0.9,0,"13,975,832",LargeValue
IDS Diversified Equity-Income Y,IDQYX,11.9,15.44,11.9,16.93,,,1.92,***,0.76,0,"281,770,612",LargeValue
Intrust Stock Instl Svc,ISISX,9.85,10.34,9.85,,,,0.7,,,1,"1,060,920",LargeValue
John Hancock Indep Value,JHIVX,18.79,18.79,18.79,23.25,,,1.17,****,0.95,3,"3,105,277",LargeValue
John Hancock Indep Medium Cap,JHMCX,12.25,18,12.25,20.49,,,0.63,***,1,3,"272,013,881",LargeValue
Kent Growth & Income Instl,KNVEX,28.07,21.19,28.07,23.84,20.83,,0.71,****,0.92,0,"45,150,424",LargeValue
Kent Growth & Income Invmt,KNVIX,27.69,21.08,27.69,23.52,20.58,,0.5,****,1.17,0,"1,209,190",LargeValue
Kobren Moderate Growth,KOMGX,3.44,11.27,3.44,,,,1.78,,0.92,2,"1,040,444",LargeValue
Lexington Corporate Leaders,LEXCX,9.94,8.91,9.94,18.33,18.01,16.43,4.25,****,0.62,10,"399,763,798",LargeValue
Legg Mason Value Nav,LMNVX,49.4,36.15,49.4,42.4,,,0,*****,0.73,4,"958,596,279",LargeValue
Legg Mason Value Prim,LMVTX,48.04,35.86,48.04,41.09,32.01,20.92,0,*****,1.73,16,"6,324,541",LargeValue
Loomis Sayles Core Value Instl,LSGIX,10.54,15.65,10.54,20.05,18.32,,1.26,****,0.84,7,"321,420,353",LargeValue
Lipper U.S. Equity Group,LUEGX,11.25,11.92,11.25,,,,0.9,,1.35,2,"71,677,844",LargeValue
Lipper U.S. Equity Prem,LUEPX,11.44,12.01,11.44,17.88,,,1.09,***,1.1,3,"4,706,649",LargeValue
Lipper U.S. Equity Ret,LUERX,11.25,11.91,11.25,,,,0.83,,1.35,2,"38,754,750",LargeValue
Lazard Equity Open,LZEOX,16.98,21.88,16.98,,,,0.89,,1.22,1,"72,789,381",LargeValue
Lazard Equity Instl,LZEQX,17.31,21.97,17.31,20.74,20.3,16.8,1.15,****,0.86,11,"28,247,548",LargeValue
MainStay Instl Value Equity Instl Svc,MAVSX,-8.3,6.86,-8.3,11.04,,,0.94,**,1.18,4,"1,334,437,056",LargeValue
Montgomery Equity Income P,MEIPX,10.11,12.6,10.11,,,,1.86,,1.1,4,"103,493,414",LargeValue
Managers Income Equity,MGIEX,11.73,14.4,11.73,18.49,17.68,15.66,1.2,***,1.32,,"89,881,458",LargeValue
Montgomery Equity Income R,MNEIX,10.74,12.78,10.74,18.23,,,2.1,***,0.85,4,"117,621,180",LargeValue
MAS Equity Instl,MPEQX,19.67,21.34,19.67,21.99,19.41,17.48,0.9,****,0.59,12,"30,836,358",LargeValue
Marshall Equity-Income,MREIX,10.48,11.67,10.48,19.52,17.66,,1.85,****,1.22,5,"87,159,545",LargeValue
MSDW Instl Value Equity A,MSIVX,8.79,18.45,8.79,18.95,17.3,,1.42,***,0.7,8,"94,539,597",LargeValue
Munder Growth & Income K,MUGKX,10.07,13.69,10.07,18.96,,,1.45,***,1.19,3,"1,046,801",LargeValue
Munder Growth & Income Y,MUGYX,10.42,13.83,10.42,19.29,,,1.7,****,0.94,3,"99,602,077",LargeValue
Ark Value Equity Instl,MVEFX,19.39,18.89,19.39,,,,0.72,,1.05,0,"40,024,824",LargeValue
Nicholas-Applegate Value I,NAVIX,20.13,16.99,20.13,,,,0.53,,1,2,"2,751,426",LargeValue
Neuberger Berman Focus Assets,NBFAX,17.56,40.19,17.56,,,,0,,1.5,2,"18,135,216",LargeValue
Neuberger Berman Focus Tr,NBFCX,13.17,34.52,13.17,17.78,17.54,,0.13,***,0.94,5,"397,343,277",LargeValue
Neuberger Berman Guardian Tr,NBGTX,2.36,23.16,2.36,12.4,13.73,,0.45,**,0.87,3,"10,013,945",LargeValue
Neuberger Berman Guardian Assets,NBGUX,1.67,22.98,1.67,,,,0,,1.5,2,"70,127,586",LargeValue
Neuberger Berman Partners Assets,NBPBX,5.59,16.17,5.59,,,,0.39,,1.5,8,"219,304,669",LargeValue
Neuberger Berman Partners Tr,NBPTX,6.14,16.27,6.14,20.11,18.32,,0,***,0.9,8,"158,761,131",LargeValue
Neuberger Berman Focus,NBSSX,13.24,34.51,13.24,17.78,17.55,17.01,0.24,***,0.84,11,"25,339,991",LargeValue
New England Growth Opportunities C,NECOX,22.93,18.83,22.93,23.83,,,0,****,2,3,"139,704,701",LargeValue
New England Value C,NECVX,6.4,17.37,6.4,17.01,,,0,***,2,0,"145,310,000",LargeValue
New England Value Y,NEVYX,7.39,17.62,7.39,18.11,,,0.35,***,1,0,"64,421,679",LargeValue
Neuberger Berman Guardian,NGUAX,2.35,23.12,2.35,12.48,13.59,14.89,0.57,***,0.79,3,"52,230,917",LargeValue
N/I Numeric Investors Larger Cap Val,NILVX,10.78,14.68,10.78,,,,0.82,,,1,"7,368,565",LargeValue
MainStay Instl Value Equity Instl,NIVEX,-8.1,6.86,-8.1,11.32,12.56,,1.22,**,0.93,8,"6,937,000",LargeValue
Nuveen Growth and Income Stock R,NNGRX,10.26,15.54,10.26,,,,1.05,,0.95,2,"390,694",LargeValue
Neuberger Berman Partners,NPRTX,6.28,16.37,6.28,20.21,18.17,16.22,0,***,0.8,8,"6,164,896",LargeValue
Nations Value Prim B,NVLBX,17.11,19.31,17.11,,,,0.53,,1.45,2,"1,082,492",LargeValue
Nations Value Inv A,NVLEX,17.14,19.39,17.14,21.37,18.66,,0.53,****,1.2,9,"935,533",LargeValue
Nations Value Prim A,NVLUX,17.34,19.54,17.34,21.65,18.9,,0.73,****,0.95,9,"11,908,152",LargeValue
Oakmark,OAKMX,3.73,12.53,3.73,16.92,17.29,,1.06,***,1.08,7,"29,310,962",LargeValue
O'Shaughnessy Dogs of the Market,OSDGX,9.1,14.17,9.1,,,,1.09,,1.46,2,"841,671,085",LargeValue
OVB Equity-Income A,OVEIX,13.77,12.52,13.77,,,,1.94,,1.11,2,"185,300,007",LargeValue
Stagecoach Equity Value Instl,PCEIX,7.05,14.16,7.05,19.98,,,1.15,***,0.95,1,"9,580,849",LargeValue
PaineWebber Pace Large Co Value Eqty,PCLVX,18.65,16.55,18.65,22.84,,,0.65,****,,3,"375,185,815",LargeValue
Payden & Rygel Growth & Income R,PDOGX,18.1,13.72,18.1,,,,1.39,,0.54,2,"502,978,619",LargeValue
Pegasus Equity-Income I,PEINX,0.18,6.25,0.18,13.48,,,2.98,***,0.7,2,"265,761,762",LargeValue
Pelican,PELFX,11.67,13.02,11.67,19.47,17.94,,1.68,****,1.1,9,"207,514,032",LargeValue
Prudential Equity Z,PEQZX,8.56,14.26,8.56,,,,1.55,,0.63,2,"555,236,657",LargeValue
Preferred Value,PFVLX,14.39,17.21,14.39,22.42,20.49,,1.02,****,0.84,6,"18,346,281",LargeValue
Philadelphia,PHILX,11.13,8.26,11.13,19.37,14.82,13.31,1.26,***,1.53,11,"19,685,094",LargeValue
PBHG Large Cap Value PBHG,PLCVX,34.78,28.21,34.78,,,,0.65,,1.17,1,"32,115,636",LargeValue
Pillar Equity-Income I,PLIAX,11.42,13.94,11.42,19.02,16.92,,1.98,***,0.8,2,"885,491",LargeValue
BlackRock Large Cap Val Eq Inst,PNVEX,10.48,16.07,10.48,20.86,19.2,,1.79,****,0.78,1,"493,327,565",LargeValue
BlackRock Large Cap Val Eq Svc,PNVSX,10.23,15.99,10.23,20.52,18.89,,1.5,****,1.09,1,"223,761,171",LargeValue
T. Rowe Price Equity-Income,PRFDX,9.23,11.1,9.23,19.21,18.75,15.18,2.19,****,0.79,13,"5,360,392",LargeValue
Quaker Aggressive Growth,QUAGX,29.78,19.2,29.78,,,,0.43,,1.34,2,"13,848,307",LargeValue
Rockhaven,RAMEX,11.88,17.11,11.88,,,,1.16,,1.49,1,"10,103,417",LargeValue
Warburg Pincus Growth & Income Comm,RBEGX,12.66,16.54,12.66,13.18,13.44,14.67,0.7,***,1.15,1,"8,566,475",LargeValue
Republic Equity A,REPEX,29.2,23.29,29.2,24.18,,,0.29,****,,,"57,731,791",LargeValue
Republic Equity Y,REQYX,29.59,23.38,29.59,,,,0.49,,,,"312,182",LargeValue
Chase Equity-Income Instl,RIEIX,26.2,18.89,26.2,24.93,20.3,15.65,0.72,****,1,10,"2,058,611,171",LargeValue
RSI Retirement Trust Value Equity,RSIVX,17.9,21.01,17.9,25.04,20.96,14.66,0,****,1.2,3,"205,368,870",LargeValue
ABN AMRO Value Comm,RVALX,5.45,15.56,5.45,18.34,16.95,,1.07,***,1.01,5,"4,806,291,711",LargeValue
Regions Value Tr,RVLAX,,15.26,,,,,,,,0,"312,921,412",LargeValue
Safeco Income No Load,SAFIX,6.31,14.55,6.31,18.56,16.53,13.46,2.59,***,0.85,2,"10,367,000",LargeValue
Safeco U.S. Value No Load,SAFVX,12.61,16.27,12.61,,,,0.99,,1.19,1,"6,924,093",LargeValue
Salomon Brothers Investors O,SAIFX,15.44,17.44,15.44,23.94,20.58,16.6,0.95,****,0.69,1,"1,702,321,948",LargeValue
Salomon Brothers Opportunity,SAOPX,4.86,13.81,4.86,18.58,17.83,14.5,0.84,***,1.12,19,17,LargeValue
Scudder Growth & Income,SCDGX,6.07,11.41,6.07,19.09,17.85,16.38,2.15,****,0.76,12,"274,613",LargeValue
Scudder Large Company Value,SCDUX,9.5,15.99,9.5,20.16,15.54,15.44,0.61,***,0.93,3,"4,837,020",LargeValue
Kemper Value S,SCVAX,11.9,17.07,11.9,23.04,19.77,,0.77,****,1.23,6,"62,085,018",LargeValue
Strong Dow 30 Value,SDOWX,16.11,15.36,16.11,,,,1.57,,,1,"2,102,894",LargeValue
Standish Tax-Sensitive Equity,SDTSX,15.36,24.36,15.36,27.6,,,0.6,*****,0.5,2,"235,170,235",LargeValue
SEI Instl Mgd Equity-Income A,SEEIX,16.12,17.43,16.12,20.11,18.66,15.86,2.11,****,0.85,4,"1,178,255",LargeValue
Sequoia,SEQUX,35.25,20.34,35.25,33.1,28.07,21.81,0.22,*****,1,28,"614,345,984",LargeValue
Selected American,SLASX,16.27,22.19,16.27,27.81,22.77,18.04,0.48,*****,0.96,1,"2,500,373",LargeValue
Saratoga Large Capitalization Value,SLCVX,11.77,14.9,11.77,20.25,,,0.43,****,1.3,4,"178,891,567",LargeValue
Galaxy Growth & Income Tr,SMGIX,15.96,20.76,15.96,21.81,19.76,,0.93,****,1.03,6,"2,490,733,232",LargeValue
Stratton Growth,STRGX,11.46,15.47,11.46,20.08,20.64,15.14,1.62,****,1.11,26,"57,736,840",LargeValue
Star Relative Value Y,STRVX,18.5,21.37,18.5,,,,0.8,,,,"686,305,496",LargeValue
Target Large Capitalization Value,TALVX,10.25,12.95,10.25,19.47,18.14,,1.54,****,0.72,5,"55,277,244",LargeValue
UAM TJ Core Equity Instl Svc,TJCEX,30.1,20.65,30.1,26.15,,,0.5,*****,1.26,3,"180,017,327",LargeValue
Consulting Group Large Cap Value Eqty,TLVUX,12.62,16.84,12.62,21.26,18.14,,1.21,****,0.78,,"87,232,273",LargeValue
SEI Instl Mgd Tax-Managed Large Cap A,TMLCX,,24.61,,,,,,,,,"3,425,420",LargeValue
Torray,TORYX,8.19,21.27,8.19,24.18,24.16,,0.38,*****,1.13,8,"112,375,332",LargeValue
Chase Vista Large Cap Equity Instl,TREQX,22.18,19.08,22.18,26.23,21.44,,1.02,*****,0.4,4,"2,111,536,088",LargeValue
SEI Instl Mgd Large Cap Value A,TRMVX,11.35,16.58,11.35,22.41,19.42,14.37,1.26,****,0.85,1,"62,521,729",LargeValue
USAA Growth & Income,USGRX,6.46,17.52,6.46,18.19,17.08,,1,***,0.85,5,"617,906,791",LargeValue
USAA Income Stock,USISX,8.1,10.71,8.1,17.67,15.79,14.85,3.45,****,0.65,0,"12,378,468",LargeValue
MSDW Value-Added Market Eq D,VADDX,12.15,16.73,12.15,,,,1.1,,0.58,1,"1,150,498",LargeValue
Vanguard Equity-Income,VEIPX,17.34,13.23,17.34,21.8,19.55,15.62,2.5,****,0.45,10,"571,504,906",LargeValue
Chase Vista Select Equity Income,VEISX,11.88,16.86,11.88,,,,2.4,,0.03,2,"438,849,119",LargeValue
Chase Vista Growth & Income Instl,VGIIX,14.5,16.76,14.5,,,,0.61,,0.86,2,"114,144,732",LargeValue
Vanguard Value Index,VIVAX,14.64,17.5,14.64,21.91,19.79,,1.54,****,0.2,6,"17,788,603",LargeValue
Vanguard Growth & Income,VQNPX,23.94,20.59,23.94,27.41,22.81,19.03,1.03,*****,0.36,12,"1,336,726,769",LargeValue
Vontobel U.S. Value,VUSVX,14.71,17.92,14.71,23.16,21.27,,0.86,*****,1.58,8,"287,305,636",LargeValue
Vanguard Windsor,VWNDX,0.81,13.46,0.81,15.82,15.09,13.37,1.49,***,0.27,3,"243,641,378",LargeValue
Vanguard Windsor II,VWNFX,16.36,14.92,16.36,24.13,21.29,17.33,1.97,****,0.37,13,"37,494,157",LargeValue
Warburg Pincus Advisor Growth & Inc,WGITX,12.23,16.49,12.23,12.76,,,0.34,**,1.54,1,"1,003,952,129",LargeValue
Wilshire Target Large Co Value Instl,WLCVX,10.45,13.73,10.45,,,,1.57,,0.76,2,"1,880,705",LargeValue
Warburg Pincus Instl Value,WPIVX,13.75,16.7,13.75,,,,1.08,,0.75,1,"9,903,000",LargeValue
Westcore Blue Chip,WTMVX,17.88,20.31,17.88,23.22,20.7,16.87,0.44,****,1.15,7,"1,304,803,918",LargeValue
ABN AMRO Value Inv,,4.66,15.44,4.66,17.84,16.56,,0.66,***,1.26,5,"1,428,512,513",LargeValue
Aetna Value Opportunity I,,,30.49,,,,,,,1.1,0,"3,482,364,972",LargeValue
AIM Basic Value Adv,,6.25,13.86,6.25,16.17,,,0,***,1.64,0,"4,798,245,578",LargeValue
Analysts Stock,,13.82,18.33,13.82,15.81,12.5,,0.57,***,2,5,"650,922,368",LargeValue
Boston Partners Large Cap Value Inv,,-0.78,11.29,-0.78,,,,0.27,,1.11,1,"1,749,390,723",LargeValue
Davis Growth & Income Y,,,16.41,,,,,,,1.14,0,"112,658,832",LargeValue
Edgar Lomax Value,,10.84,10.51,10.84,,,,0.62,,,1,"15,540,276",LargeValue
Evergreen Select Diversified Val InSv,,,19.26,,,,,,,,0,"74,511,828",LargeValue
Evergreen Select Equity Income Instl,,-3.24,7.37,-3.24,,,,3.12,,,1,"156,427,585",LargeValue
Evergreen Select Equity Income InSvc,,,7.3,,,,,,,,0,"1,453,785,377",LargeValue
Evergreen Select Strategic Value Inst,,6.23,16.86,6.23,,,,1.35,,,1,"56,828,160",LargeValue
Evergreen Select Strategic Value InSv,,,16.78,,,,,,,,0,"7,779,327,761",LargeValue
Florida Street Growth,,2.85,20.19,2.85,,,,0.15,,,,"31,933,215",LargeValue
ICAP Select Equity,,14.36,17.66,14.36,,,,0.44,,,1,"43,439,262",LargeValue
Idex Value Equity C,,-7.81,7.31,-7.81,,,,0,,2.05,1,"717,266,774",LargeValue
IDS Equity Value Y,,9.27,16.27,9.27,18.38,,,1.57,***,0.76,0,"25,297,055",LargeValue
Kemper-Dreman High Return Equity I,,12.54,14.32,12.54,24.49,,,2.76,****,0.83,3,"2,970,182",LargeValue
Loomis Sayles Core Value Ret,,10.15,15.53,10.15,,,,0.97,,1.1,1,"45,450,000",LargeValue
Loomis Sayles Strategic Value Instl,,11.84,25.62,11.84,,,,0.15,,1,1,"6,447,978",LargeValue
Loomis Sayles Strategic Value Ret,,11.57,25.56,11.57,,,,0,,1.25,1,"485,540,000",LargeValue
MFS Equity Income I,,17.66,11.97,17.66,,,,1.22,,1.18,1,"41,038,733",LargeValue
